Date,Open,High,Low,Close,Adj Close,Volume
2022-09-28,1945.000000,1950.000000,1925.000000,1925.000000,1925.000000,70315600
2022-09-29,1945.000000,1960.000000,1910.000000,1920.000000,1920.000000,48688700
2022-09-30,1925.000000,1940.000000,1885.000000,1940.000000,1940.000000,61879600
2022-10-03,1900.000000,1920.000000,1890.000000,1890.000000,1890.000000,57708700
2022-10-04,1920.000000,1935.000000,1910.000000,1925.000000,1925.000000,73564600
2022-10-05,1945.000000,1975.000000,1940.000000,1940.000000,1940.000000,84847500
2022-10-06,1955.000000,1965.000000,1925.000000,1930.000000,1930.000000,46688800
2022-10-07,1935.000000,1950.000000,1925.000000,1935.000000,1935.000000,28671100
2022-10-10,1920.000000,1925.000000,1895.000000,1910.000000,1910.000000,29237400
2022-10-11,1910.000000,1915.000000,1890.000000,1895.000000,1895.000000,23307600
2022-10-12,1895.000000,1915.000000,1860.000000,1880.000000,1880.000000,45420900
2022-10-13,1890.000000,1895.000000,1820.000000,1830.000000,1830.000000,61806000
2022-10-14,1855.000000,1865.000000,1820.000000,1820.000000,1820.000000,35742200
2022-10-17,1810.000000,1810.000000,1765.000000,1805.000000,1805.000000,44920200
2022-10-18,1810.000000,1830.000000,1790.000000,1795.000000,1795.000000,29114900
2022-10-19,1800.000000,1840.000000,1765.000000,1825.000000,1825.000000,50663500
2022-10-20,1815.000000,1835.000000,1805.000000,1820.000000,1820.000000,55821200
2022-10-21,1825.000000,1830.000000,1795.000000,1800.000000,1800.000000,53313900
2022-10-24,1805.000000,1825.000000,1790.000000,1795.000000,1795.000000,42005500
2022-10-25,1800.000000,1810.000000,1760.000000,1770.000000,1770.000000,61312200
2022-10-26,1775.000000,1830.000000,1775.000000,1810.000000,1810.000000,93571200
2022-10-27,1820.000000,1880.000000,1815.000000,1840.000000,1840.000000,117436400
2022-10-28,1845.000000,1850.000000,1805.000000,1835.000000,1835.000000,48489400
2022-10-31,1840.000000,1850.000000,1825.000000,1845.000000,1845.000000,32276200
2022-11-01,1845.000000,1845.000000,1805.000000,1810.000000,1810.000000,27067000
2022-11-02,1865.000000,1895.000000,1850.000000,1865.000000,1865.000000,112301800
2022-11-03,1865.000000,1875.000000,1825.000000,1830.000000,1830.000000,55063600
2022-11-04,1830.000000,1915.000000,1805.000000,1915.000000,1915.000000,94024700
2022-11-07,1930.000000,2010.000000,1930.000000,2000.000000,2000.000000,213462800
2022-11-08,2010.000000,2040.000000,1970.000000,1985.000000,1985.000000,102934900
2022-11-09,2010.000000,2060.000000,1995.000000,2000.000000,2000.000000,109456900
2022-11-10,2000.000000,2020.000000,1985.000000,2000.000000,2000.000000,111703400
2022-11-11,2080.000000,2130.000000,2050.000000,2120.000000,2120.000000,262785800
2022-11-14,2150.000000,2170.000000,2100.000000,2120.000000,2120.000000,148342000
2022-11-15,2160.000000,2220.000000,2130.000000,2160.000000,2160.000000,165401200
2022-11-16,2180.000000,2180.000000,2020.000000,2030.000000,2030.000000,174441800
2022-11-17,1985.000000,1995.000000,1940.000000,1975.000000,1975.000000,149717300
2022-11-18,1955.000000,1985.000000,1950.000000,1960.000000,1960.000000,59274700
2022-11-21,1980.000000,2000.000000,1955.000000,1960.000000,1960.000000,54986700
2022-11-22,1960.000000,1970.000000,1930.000000,1935.000000,1935.000000,56464900
2022-11-23,1970.000000,1985.000000,1955.000000,1975.000000,1975.000000,55881800
2022-11-24,1975.000000,1990.000000,1960.000000,1970.000000,1970.000000,35329400
2022-11-25,1970.000000,1975.000000,1945.000000,1950.000000,1950.000000,30261700
2022-11-28,1945.000000,1945.000000,1910.000000,1915.000000,1915.000000,64871100
2022-11-29,1935.000000,1965.000000,1925.000000,1965.000000,1965.000000,56748100
2022-11-30,1980.000000,1990.000000,1965.000000,1985.000000,1985.000000,119645000
2022-12-01,2000.000000,2060.000000,1985.000000,2040.000000,2040.000000,119554800
2022-12-02,2050.000000,2060.000000,2020.000000,2040.000000,2040.000000,71325000
2022-12-05,2070.000000,2080.000000,2040.000000,2060.000000,2060.000000,61782900
2022-12-06,2050.000000,2050.000000,1945.000000,1965.000000,1965.000000,67396800
2022-12-07,1965.000000,1985.000000,1900.000000,1920.000000,1920.000000,81990800
2022-12-08,1960.000000,1995.000000,1920.000000,1990.000000,1990.000000,67037700
2022-12-09,1960.000000,1980.000000,1930.000000,1935.000000,1935.000000,49662100
2022-12-12,1930.000000,1960.000000,1915.000000,1950.000000,1950.000000,31247700
2022-12-13,1960.000000,1965.000000,1930.000000,1930.000000,1930.000000,57151100
2022-12-14,1930.000000,1945.000000,1915.000000,1940.000000,1940.000000,47643500
2022-12-15,1940.000000,1940.000000,1920.000000,1935.000000,1935.000000,33879300
2022-12-16,1915.000000,2030.000000,1915.000000,2020.000000,2020.000000,96998400
2022-12-19,2030.000000,2060.000000,2000.000000,2040.000000,2040.000000,84860900
2022-12-20,2030.000000,2030.000000,1985.000000,2010.000000,2010.000000,52011600
2022-12-21,2020.000000,2070.000000,2020.000000,2040.000000,2040.000000,63043600
2022-12-22,2070.000000,2080.000000,2020.000000,2030.000000,2030.000000,38430500
2022-12-23,2030.000000,2030.000000,1995.000000,2000.000000,2000.000000,33726500
2022-12-26,2010.000000,2030.000000,1995.000000,2000.000000,2000.000000,15934600
2022-12-27,2010.000000,2040.000000,1985.000000,1990.000000,1990.000000,36854400
2022-12-28,1990.000000,2010.000000,1940.000000,2010.000000,2010.000000,62750900
2022-12-29,2000.000000,2020.000000,1970.000000,2010.000000,2010.000000,43604000
2022-12-30,2010.000000,2020.000000,1985.000000,1985.000000,1985.000000,23123000
2023-01-02,1990.000000,2010.000000,1975.000000,1980.000000,1980.000000,15045200
2023-01-03,1980.000000,2020.000000,1975.000000,2000.000000,2000.000000,45001200
2023-01-04,2020.000000,2100.000000,2010.000000,2050.000000,2050.000000,142169900
2023-01-05,2020.000000,2050.000000,1935.000000,1965.000000,1965.000000,130118600
2023-01-06,1950.000000,1985.000000,1930.000000,1985.000000,1985.000000,55673400
2023-01-09,2010.000000,2070.000000,2010.000000,2060.000000,2060.000000,118054500
